dt,Temp_deg_C,pH_units,SpCond_uS_cm,HDO_mg_l,fdom_qsu_temp,fdom_turb_ife,CDOM_qsu,X_00060_00011
5/20/15 17:45,17.99,7.24,223.1,8.89,29.92331803,68.41723451,32.66890523,789
5/20/15 18:00,17.97,7.22,223.1,8.86,30.09607067,68.91589239,32.86611235,789
5/20/15 18:15,17.93,7.21,223.4,8.83,30.26080083,69.13970972,33.06331948,789
5/20/15 18:30,17.88,7.19,224.7,8.75,30.33360511,69.18404885,33.164588,789
5/20/15 18:45,17.84,7.18,224.5,8.71,30.5467033,69.84334848,33.41509434,789
5/20/15 19:00,17.81,7.17,224.4,8.66,30.68566973,70.34396868,33.58032193,789
5/20/15 19:15,17.75,7.16,224.4,8.62,30.7734469,70.48283883,33.70291014,796
5/20/15 19:30,17.71,7.16,224,8.57,30.97616832,70.80016191,33.94275664,796
5/20/15 19:45,17.68,7.15,223.7,8.53,31.02716836,70.93101658,34.01204562,796
5/20/15 20:00,17.64,7.14,223.3,8.49,31.17122486,71.62419009,34.18793306,796
5/20/15 20:15,17.6,7.13,223.1,8.46,31.31025561,71.98331342,34.35849057,796
5/20/15 20:30,17.56,7.12,222.6,8.42,31.51708581,72.36908614,34.60366699,796
5/20/15 20:45,17.53,7.12,222.4,8.4,31.58713389,72.75952337,34.69427566,796
5/20/15 21:00,17.5,7.11,222.1,8.38,31.68137013,73.03395945,34.81153395,796
5/20/15 21:15,17.46,7.11,221.7,8.37,31.70346083,72.85072671,34.85417333,796
5/20/15 21:30,17.43,7.11,221.2,8.36,31.84600312,73.37062104,35.02473084,796
5/20/15 21:45,17.4,7.11,220.9,8.36,31.86731573,73.42592289,35.06204029,796
5/20/15 22:00,17.36,7.1,220.2,8.35,31.94733586,73.57292417,35.16863874,796
5/20/15 22:15,17.33,7.1,220.1,8.34,32.0411625,74.02991539,35.28589703,796
5/20/15 22:30,17.3,7.1,219.7,8.35,32.06233646,73.62800544,35.32320648,796
5/20/15 22:45,17.26,7.1,218.9,8.35,32.00671421,73.90971499,35.2805671,796
5/20/15 23:00,17.22,7.1,218.7,8.35,32.02362451,73.92321696,35.31787656,796
5/20/15 23:15,17.19,7.1,218.1,8.36,32.17517098,74.22571171,35.49909391,789
5/20/15 23:30,17.14,7.1,217.9,8.36,31.96561213,73.77232931,35.29122695,796
5/20/15 23:45,17.12,7.1,217.5,8.36,32.21294852,75.0023596,35.57371282,789
5/21/15 0:00,17.07,7.1,217.2,8.36,32.20609345,74.18356166,35.58970259,789
5/21/15 0:15,17.04,7.1,216.6,8.36,32.22222056,74.5325113,35.62168212,789
5/21/15 0:30,17,7.1,216.1,8.37,32.13285705,74.17687855,35.54173329,789
5/21/15 0:45,16.96,7.1,216.1,8.36,32.33735617,74.80210556,35.78690971,782
5/21/15 1:00,16.92,7.1,215.6,8.35,32.30575339,74.56550384,35.77091994,782
5/21/15 1:15,16.88,7.09,215.2,8.34,32.43774168,75.93822629,35.93614753,782
5/21/15 1:30,16.85,7.09,214.8,8.32,32.45367134,75.98036625,35.96812707,776
5/21/15 1:45,16.8,7.09,214.6,8.3,32.53303498,75.21984552,36.08005543,776
5/21/15 2:00,16.76,7.08,213.6,8.28,32.64542378,76.48801496,36.22396333,776
5/21/15 2:15,16.72,7.08,213.2,8.25,32.68566216,75.9004362,36.2879224,769
5/21/15 2:30,16.68,7.07,212.6,8.22,32.8553925,77.01280866,36.49578936,769
5/21/15 2:45,16.64,7.07,211.7,8.19,32.91462203,76.85091594,36.58106812,769
5/21/15 3:00,16.61,7.06,210.9,8.16,33.01172228,76.75695509,36.70365633,762
5/21/15 3:15,16.57,7.06,209.8,8.12,33.23847402,77.38588147,36.97548236,762
5/21/15 3:30,16.53,7.05,209,8.08,33.38355739,78.09167765,37.15669971,762
5/21/15 3:45,16.5,7.04,208.2,8.05,33.59517139,79.01305961,37.40720605,756
5/21/15 4:00,16.45,7.03,207.1,8.01,33.55839694,78.58800108,37.39121629,756
5/21/15 4:15,16.42,7.03,206.1,7.97,33.70274312,79.99538929,37.56710372,756
5/21/15 4:30,16.39,7.02,205.5,7.94,33.9568968,79.35028561,37.86557936,749
5/21/15 4:45,16.35,7.02,204.5,7.9,33.95306955,79.60433808,37.88156913,749
5/21/15 5:00,16.31,7.01,203.7,7.87,34.25480314,80.34145901,38.23867392,749
5/21/15 5:15,16.27,7.01,202.8,7.84,34.46075279,80.58830124,38.48918026,743
5/21/15 5:30,16.24,7,202.1,7.81,34.59478419,81.3163889,38.65440785,743
5/21/15 5:45,16.21,6.99,201.5,7.79,34.66194141,81.70002636,38.74501652,736
5/21/15 6:00,16.19,6.99,201,7.78,34.82902865,81.9433517,38.94222364,736
5/21/15 6:15,16.16,6.99,200.6,7.77,34.81025727,82.09816541,38.93689372,736
5/21/15 6:30,16.14,6.99,200.2,7.77,34.92954263,83.38748426,39.08080162,730
5/21/15 6:45,16.12,6.99,200,7.78,35.09638385,82.35050157,39.27800874,730
5/21/15 7:00,16.11,6.99,199.7,7.8,35.20119731,83.60232274,39.40059695,723
5/21/15 7:15,16.11,6.99,199.6,7.82,35.28691057,84.01001141,39.49653555,723
5/21/15 7:30,16.11,6.99,199.5,7.84,35.35833829,84.02838812,39.57648438,723
5/21/15 7:45,16.1,7,199.4,7.86,35.44881764,84.34443154,39.68308283,717
5/21/15 8:00,16.14,7.01,199.5,7.91,35.36780899,83.59874729,39.57115446,717
5/21/15 8:15,16.17,7.01,199.5,7.98,35.48212085,84.04754571,39.68308283,710
5/21/15 8:30,16.15,7.01,199.6,8,35.47737005,83.61439995,39.68841275,710
5/21/15 8:45,16.11,7.01,199.8,7.98,35.56785959,83.682818,39.81100096,710
5/21/15 9:00,16.11,7.02,199.9,7.99,35.62976361,84.37641775,39.88028995,704
5/21/15 9:15,16.13,7.02,200.1,8.05,35.6583786,84.55983749,39.90160964,704
5/21/15 9:30,16.12,7.02,200.4,8.06,35.72979459,84.6116624,39.98688839,704
5/21/15 9:45,16.11,7.02,200.6,8.06,35.68214393,84.58883497,39.93891909,698
5/21/15 10:00,16.14,7.03,200.9,8.12,35.61076099,84.11378374,39.84298049,698
5/21/15 10:15,16.19,7.05,201.2,8.2,35.69184836,84.26203242,39.90693956,698
5/21/15 10:30,16.27,7.07,201.5,8.3,35.38653471,83.54449211,39.52318516,691
5/21/15 10:45,16.32,7.08,201.8,8.36,35.52483327,83.81206266,39.65110329,691
5/21/15 11:00,16.38,7.1,202.1,8.4,35.31440083,83.31545013,39.38460718,691
5/21/15 11:15,16.48,7.11,202.5,8.45,35.40468842,83.14081178,39.43257648,685
5/21/15 11:30,16.55,7.12,202.8,8.51,35.36593194,83.17582002,39.35262765,685
5/21/15 11:45,16.61,7.13,203.2,8.56,35.28398249,83.02538041,39.23003944,685
5/21/15 12:00,16.65,7.13,203.5,8.58,35.33157376,82.97970529,39.26201897,679
5/21/15 12:15,16.65,7.11,203.8,8.6,35.31238834,83.20574373,39.24069929,679
5/21/15 12:30,16.62,7.11,204.2,8.58,35.36539676,83.34821096,39.3153182,679
5/21/15 12:45,16.66,7.12,204.5,8.58,35.26912297,82.91627237,39.18740006,679
5/21/15 13:00,16.71,7.11,204.8,8.63,35.22061102,82.9938448,39.10745123,679
5/21/15 13:15,16.78,7.12,205.3,8.67,35.19577522,82.58181113,39.04349217,672
5/21/15 13:30,16.81,7.12,205.6,8.71,35.04158775,82.47879401,38.85694489,672
5/21/15 13:45,16.78,7.12,205.9,8.67,35.22940784,82.74076536,39.08080162,672
5/21/15 14:00,16.8,7.12,206.2,8.66,35.209943,82.65417135,39.04882209,672
5/21/15 14:15,16.84,7.12,206.8,8.7,35.19500977,82.54532112,39.01151263,666
5/21/15 14:30,16.94,7.12,207,8.73,35.02029593,82.14717505,38.76633621,666
5/21/15 14:45,17.01,7.13,207.5,8.77,35.02391363,82.05414046,38.73435668,666
5/21/15 15:00,17.05,7.13,207.8,8.77,34.99426992,81.83849543,38.68105746,666
5/21/15 15:15,17.08,7.14,208.2,8.8,34.98406317,81.91368605,38.65440785,660
5/21/15 15:30,17.14,7.14,208.6,8.83,35.01669648,82.03488633,38.65973777,660
5/21/15 15:45,17.17,7.14,209,8.85,34.9002025,81.55414656,38.51582987,660
5/21/15 16:00,17.19,7.14,209.5,8.84,34.90460696,81.56585985,38.51049995,660
5/21/15 16:15,17.24,7.15,209.9,8.84,34.94219423,81.80208476,38.52648971,660
5/21/15 16:30,17.25,7.15,210.3,8.84,34.85978867,81.51457889,38.43055111,660
5/21/15 16:45,17.27,7.14,210.7,8.83,34.95121507,81.8602394,38.52115979,654
5/21/15 17:00,17.28,7.14,211.2,8.83,34.91714047,81.70126539,38.47852041,654
5/21/15 17:15,17.28,7.14,211.6,8.83,34.81557164,81.60066074,38.36659205,654
5/21/15 17:30,17.26,7.13,212.2,8.8,34.88857277,81.65920713,38.45720072,654
5/21/15 17:45,17.25,7.13,212.6,8.78,34.94681316,81.61008068,38.52648971,654
5/21/15 18:00,17.24,7.13,213,8.76,34.90835584,81.6098275,38.48918026,647
5/21/15 18:15,17.22,7.12,213.5,8.73,34.88946136,81.5595574,38.47852041,647
5/21/15 18:30,17.21,7.12,213.9,8.71,34.90417672,81.63271609,38.4998401,647